Region,Destination_Name,Destination_Type,Total_Days,Total_Persons,Budget_Per_Person
North,Leh,Beach,15,3,46356
Northeast,Ziro Valley,Hidden Gem,7,8,53115
East,Puri,Trekking,8,12,24717
Central,Khajuraho,Hidden Gem,6,12,18324
East,Darjeeling,Hill Station,6,2,33335
Northeast,Dzukou Valley,Beach,8,9,26773
South,Coorg,Adventure,7,3,46801
North,Kullu,Hill Station,7,12,54678
Northeast,Cherrapunji,Desert,10,5,33763
West,Dwarka,Historical,9,6,5011
Northeast,Kaziranga,Hill Station,10,5,51603
East,Kolkata,Wildlife,13,1,10973
East,Gangtok,Hidden Gem,4,4,15329
West,Jaisalmer,Trekking,13,1,47921
South,Ooty,Desert,7,5,41655
West,Dwarka,Hill Station,7,10,17386
South,Mysore,Wildlife,6,10,9443
Central,Khajuraho,Hidden Gem,9,7,8579
East,Shillong,Historical,15,3,16816
Northeast,Cherrapunji,Beach,11,7,13416
North,Shimla,Religious,8,9,9686
East,Puri,Hidden Gem,12,11,56807
Central,Gwalior,Beach,9,4,27132
South,Goa,Hill Station,15,3,30167
Northeast,Dzukou Valley,Beach,14,1,4620
Northeast,Majuli,Hidden Gem,6,6,32313
North,Nainital,Wildlife,6,8,33064
East,Puri,Religious,10,2,44045
North,Dalhousie,Trekking,6,11,55318
Northeast,Ziro Valley,Trekking,11,4,10491
Northeast,Dzukou Valley,Urban/City,5,9,21337
Northeast,Aizawl,Desert,14,9,48609
Central,Kanha National Park,Desert,14,8,11934
Central,Kanha National Park,Adventure,4,4,11089
South,Pondicherry,Hidden Gem,4,2,30194
West,Jaisalmer,Religious,15,7,57900
North,Rishikesh,Trekking,15,5,35101
Northeast,Dzukou Valley,Adventure,11,12,38938
West,Jaisalmer,Hidden Gem,4,5,52099
West,Mount Abu,Historical,7,4,13011
Northeast,Shillong Peak,Religious,12,1,4867
North,Jaipur,Religious,3,3,3403
South,Hampi,Adventure,2,2,51892
West,Mount Abu,Adventure,5,4,25128
Central,Kanha National Park,Adventure,12,2,35034
West,Mumbai,Historical,10,12,56541
West,Udaipur,Historical,5,4,34365
East,Darjeeling,Beach,8,7,52446
South,Ooty,Historical,13,7,13306
Central,Bhopal,Religious,9,1,49509
South,Ooty,Urban/City,4,3,10597
North,Rishikesh,Desert,5,9,50299
North,Kullu,Historical,14,7,21544
North,Varanasi,Historical,2,1,10373
West,Udaipur,Trekking,4,3,52625
Northeast,Kaziranga,Urban/City,6,3,19530
Northeast,Tawang,Historical,8,4,31860
Central,Kanha National Park,Wildlife,2,4,9696
West,Mount Abu,Hill Station,13,10,48212
North,Manali,Religious,14,6,59164
West,Udaipur,Urban/City,11,3,53646
North,Leh,Religious,9,4,57156
East,Konark,Trekking,10,10,24126
East,Darjeeling,Hidden Gem,8,8,4998
South,Coorg,Hill Station,15,11,38933
Northeast,Majuli,Adventure,2,4,11064
North,Jaipur,Urban/City,6,12,27336
North,Dalhousie,Adventure,15,10,49905
South,Goa,Religious,12,5,48299
South,Coorg,Historical,3,7,42162
East,Sundarbans,Urban/City,13,1,54253
North,Manali,Hill Station,14,8,49792
West,Gir National Park,Urban/City,10,3,49632
West,Jaisalmer,Wildlife,6,9,16479
Northeast,Kaziranga,Religious,8,12,54990
West,Rann of Kutch,Trekking,11,10,38943
West,Gir National Park,Hill Station,13,10,39634
East,Bodh Gaya,Adventure,15,12,48483
North,Dalhousie,Adventure,8,12,47220
North,Rishikesh,Urban/City,10,6,35585
Central,Khajuraho,Hill Station,6,12,17103
Northeast,Ziro Valley,Beach,15,7,7135
West,Gir National Park,Religious,15,5,45986
North,Jaipur,Desert,4,10,55151
Northeast,Dzukou Valley,Historical,6,2,36465
East,Shillong,Wildlife,9,6,8285
South,Mysore,Wildlife,13,10,11566
East,Gangtok,Hidden Gem,4,7,10082
North,Nainital,Hill Station,6,9,12889
North,Manali,Urban/City,15,2,25220
Central,Kanha National Park,Beach,8,2,52570
North,Shimla,Urban/City,4,4,43389
South,Kochi,Religious,3,8,45978
North,Jaipur,Adventure,6,3,38893
North,Leh,Historical,3,12,28969
Northeast,Dzukou Valley,Religious,14,10,31780
South,Kodaikanal,Hill Station,10,10,5248
West,Mount Abu,Urban/City,10,10,19184
South,Mysore,Hidden Gem,15,12,47034
South,Kochi,Religious,15,11,21824
Northeast,Tawang,Desert,12,4,52956
North,Manali,Hidden Gem,10,8,42472
North,Rishikesh,Historical,3,8,15111
South,Coorg,Urban/City,9,6,43130
North,Shimla,Beach,2,3,15804
North,Varanasi,Hill Station,9,1,49006
North,Nainital,Religious,11,5,5759
South,Ooty,Beach,3,12,47273
Northeast,Aizawl,Adventure,8,5,7673
Northeast,Majuli,Desert,9,1,37100
Northeast,Tawang,Urban/City,13,9,36083
East,Guwahati,Hidden Gem,3,6,4085
Central,Gwalior,Religious,12,2,22710
South,Hampi,Historical,7,2,25084
East,Bodh Gaya,Beach,5,9,24740
North,Agra,Hill Station,14,11,46917
Northeast,Imphal,Adventure,15,1,26472
West,Jaisalmer,Adventure,7,2,41917
Central,Khajuraho,Urban/City,5,1,4007
South,Munnar,Adventure,7,11,43762
East,Gangtok,Historical,7,8,41697
South,Goa,Historical,3,10,49292
Central,Bhopal,Desert,2,8,32298
Central,Indore,Trekking,9,12,12231
North,Shimla,Wildlife,6,9,11678
Northeast,Kaziranga,Beach,4,5,16778
South,Hampi,Historical,13,11,45624
Northeast,Aizawl,Hidden Gem,4,2,44949
East,Gangtok,Trekking,2,5,9262
North,Nainital,Hidden Gem,11,5,18269
East,Bodh Gaya,Hidden Gem,14,2,40579
North,Agra,Desert,4,8,24468
Central,Indore,Wildlife,5,11,16715
East,Sundarbans,Hill Station,12,11,15955
North,Shimla,Hidden Gem,15,8,49650
North,Agra,Desert,12,1,4667
East,Shillong,Trekking,13,2,25775
Central,Bandhavgarh,Historical,4,12,17638
North,Rishikesh,Desert,5,9,20445
Northeast,Kaziranga,Beach,6,8,53018
North,Varanasi,Hill Station,15,1,11661
North,Nainital,Urban/City,4,2,47423
West,Gir National Park,Desert,6,3,58950
West,Jaisalmer,Trekking,3,3,59834
West,Jaisalmer,Historical,11,1,27651
South,Alleppey,Trekking,3,10,10819
West,Dwarka,Wildlife,10,11,30652
Central,Sanchi,Religious,3,10,54756
South,Kodaikanal,Hill Station,4,9,48757
Northeast,Kaziranga,Wildlife,5,12,30141
Central,Bhopal,Hidden Gem,4,5,12898
Northeast,Kaziranga,Historical,9,7,8743
Northeast,Imphal,Wildlife,7,1,47209
North,Dalhousie,Trekking,12,12,50855
North,Manali,Hidden Gem,11,3,53637
Central,Sanchi,Religious,11,6,49749
Northeast,Imphal,Beach,13,8,23660
South,Kodaikanal,Religious,6,3,55126
Northeast,Tawang,Urban/City,8,3,3233
East,Bodh Gaya,Wildlife,2,3,31545
Central,Gwalior,Hidden Gem,8,1,23269
Northeast,Aizawl,Urban/City,7,12,49308
South,Kochi,Hill Station,15,9,36905
West,Udaipur,Trekking,10,10,4632
South,Ooty,Beach,9,9,56862
North,Jaipur,Adventure,2,5,59002
East,Bodh Gaya,Trekking,12,1,3738
Northeast,Shillong Peak,Urban/City,2,10,46856
South,Coorg,Hill Station,12,3,19550
Central,Bhopal,Beach,10,3,50358
Central,Indore,Religious,2,6,55667
Central,Sanchi,Hill Station,12,5,45916
West,Gir National Park,Adventure,15,1,47257
Central,Pachmarhi,Adventure,15,3,8863
Northeast,Aizawl,Historical,8,10,22371
Northeast,Tawang,Hidden Gem,13,7,55843
North,Leh,Urban/City,5,9,46524
South,Coorg,Religious,14,11,11103
South,Munnar,Wildlife,11,5,59593
Central,Indore,Trekking,14,10,7345
South,Munnar,Religious,5,10,26980
Central,Gwalior,Trekking,5,12,11478
North,Jaipur,Adventure,8,11,34638
Central,Bandhavgarh,Religious,3,10,26579
South,Kochi,Hill Station,14,7,9465
East,Guwahati,Trekking,7,1,46665
North,Kullu,Desert,4,6,13755
South,Pondicherry,Wildlife,12,7,46232
North,Dalhousie,Historical,4,7,58650
Northeast,Kaziranga,Hidden Gem,12,5,28666
East,Guwahati,Hidden Gem,13,9,41485
North,Jaipur,Religious,4,3,14023
North,Agra,Hill Station,11,6,47126
South,Alleppey,Religious,15,9,24186
North,Kullu,Urban/City,12,9,22044
North,Shimla,Historical,10,10,10764
East,Konark,Historical,10,11,22017
Northeast,Kaziranga,Historical,14,1,14885
South,Kodaikanal,Wildlife,2,3,56689
Central,Bhopal,Historical,4,8,27569
North,Leh,Hidden Gem,5,9,37999
South,Pondicherry,Wildlife,12,6,48303
South,Mysore,Religious,12,2,20318
South,Mysore,Urban/City,2,9,29533
North,Leh,Desert,13,10,49658
East,Gangtok,Beach,12,7,58529
Northeast,Kaziranga,Adventure,14,7,45821
Northeast,Majuli,Adventure,10,12,25025
West,Jaisalmer,Hidden Gem,2,3,41676
Central,Pachmarhi,Desert,10,10,34501
South,Kochi,Trekking,12,2,6514
Central,Khajuraho,Desert,4,9,5204
North,Manali,Religious,13,4,53148
North,Agra,Urban/City,8,3,26944
North,Manali,Religious,13,12,22724
North,Varanasi,Trekking,2,6,26397
West,Ahmedabad,Urban/City,6,12,9927
West,Rann of Kutch,Hill Station,7,10,36098
North,Kullu,Trekking,14,7,55278
Central,Indore,Desert,9,10,59385
West,Gir National Park,Hidden Gem,3,6,59963
North,Jaipur,Urban/City,11,3,58254
Central,Bandhavgarh,Historical,3,12,28798
Central,Bhopal,Wildlife,5,5,12568
West,Udaipur,Desert,13,3,59097
North,Agra,Religious,14,3,45864
Northeast,Majuli,Hidden Gem,8,1,26609
East,Kolkata,Urban/City,5,6,35320
Northeast,Aizawl,Desert,3,2,13705
Central,Indore,Urban/City,7,6,58672
Northeast,Aizawl,Urban/City,3,4,8847
North,Kullu,Beach,8,5,14304
East,Konark,Beach,13,4,56116
North,Jaipur,Beach,14,3,32152
West,Gir National Park,Beach,7,8,59564
East,Sundarbans,Adventure,10,8,4434
Northeast,Cherrapunji,Adventure,8,8,11253
East,Kolkata,Hidden Gem,13,5,30547
Northeast,Majuli,Trekking,2,1,41258
South,Alleppey,Historical,6,4,53159
Northeast,Kaziranga,Wildlife,13,7,35129
West,Mumbai,Adventure,3,8,39629
Central,Gwalior,Beach,12,7,14820
West,Ahmedabad,Desert,12,10,33538
East,Guwahati,Beach,7,1,43314
Northeast,Kaziranga,Desert,13,10,48697
North,Varanasi,Urban/City,5,9,29606
East,Sundarbans,Hill Station,2,6,53436
East,Puri,Trekking,15,6,19483
North,Dalhousie,Desert,11,7,40749
North,Shimla,Adventure,3,3,5113
Central,Gwalior,Hidden Gem,3,4,43723
North,Agra,Wildlife,13,8,33479
South,Alleppey,Desert,4,12,22105
East,Bodh Gaya,Hill Station,3,8,52266
South,Coorg,Urban/City,7,5,37483
Northeast,Dzukou Valley,Adventure,10,11,8275
North,Shimla,Trekking,10,4,31195
South,Alleppey,Hill Station,6,1,33231
South,Hampi,Trekking,6,4,31343
North,Jaipur,Religious,4,1,7977
South,Kochi,Adventure,15,7,53482
Northeast,Cherrapunji,Desert,3,4,31097
South,Mysore,Historical,2,10,44690
West,Rann of Kutch,Adventure,11,11,9265
West,Ahmedabad,Desert,14,12,50986
West,Ahmedabad,Adventure,3,6,42083
West,Ahmedabad,Wildlife,7,12,29171
East,Konark,Desert,13,3,33062
South,Kodaikanal,Wildlife,11,5,34947
West,Udaipur,Hill Station,2,10,5509
South,Coorg,Hill Station,8,5,50474
Northeast,Tawang,Hill Station,11,12,32930
West,Mumbai,Hidden Gem,4,2,5292
East,Sundarbans,Wildlife,3,1,36590
South,Hampi,Religious,2,12,45611
Northeast,Kaziranga,Adventure,9,7,6976
Northeast,Ziro Valley,Hidden Gem,6,10,11228
Northeast,Imphal,Urban/City,5,10,45145
West,Gir National Park,Historical,10,8,25200
South,Pondicherry,Hidden Gem,9,4,57614
Central,Bhopal,Adventure,9,1,10052
Central,Sanchi,Religious,5,4,59550
West,Udaipur,Wildlife,2,4,15629
South,Hampi,Adventure,4,1,5185
East,Sundarbans,Hill Station,12,4,42277
West,Somnath,Hidden Gem,11,5,46089
West,Somnath,Desert,11,4,29853
Northeast,Ziro Valley,Hill Station,5,2,6456
Central,Indore,Historical,7,10,18284
North,Dalhousie,Urban/City,6,4,9854
Northeast,Imphal,Desert,14,6,45067
Northeast,Tawang,Hill Station,12,2,43749
South,Munnar,Hill Station,8,5,43142
East,Puri,Urban/City,15,2,42096
